domain,model,donor_wy,swe_mm,soil_liq_mm,aquifer_mm,total_storage_mm,basin,spatial
East_River_distributed_elevAspect,qTopmodl,2018,0.0,262.11720755490154,0.0,262.11720755490154,East_River,elevAspect
East_River_distributed_elevAspect,qTopmodl,2019,0.0,285.08535242671616,0.0,285.08535242671616,East_River,elevAspect
East_River_distributed_elevAspect,qTopmodl,2020,0.0,268.2493214095954,0.0,268.2493214095954,East_River,elevAspect
East_River_distributed_elevTPI,bigBuckt,2001,0.0,280.9473205488804,135.26138260969174,416.2087031585721,East_River,elevTPI
East_River_distributed_elevTPI,bigBuckt,2002,0.0,281.99373431639395,122.60595224716386,404.59968656355784,East_River,elevTPI
East_River_distributed_elevTPI,bigBuckt,2003,0.0,283.86360748371897,138.62297619816152,422.48658368188046,East_River,elevTPI
East_River_distributed_elevTPI,bigBuckt,2004,0.0,281.76266476651216,134.04174536296026,415.80441012947244,East_River,elevTPI
East_River_distributed_elevTPI,bigBuckt,2005,0.0,282.37455557473885,134.9046008438748,417.27915641861364,East_River,elevTPI
East_River_distributed_elevTPI,bigBuckt,2006,0.0,280.2013849368853,127.64829135714625,407.84967629403155,East_River,elevTPI
East_River_distributed_elevTPI,bigBuckt,2007,0.0,283.8786256379657,134.27743450272874,418.1560601406944,East_River,elevTPI
East_River_distributed_elevTPI,bigBuckt,2008,0.0,284.51553438945643,139.72553736607557,424.241071755532,East_River,elevTPI
East_River_distributed_elevTPI,bigBuckt,2009,0.0,283.43744185366995,140.72393810152113,424.1613799551911,East_River,elevTPI
East_River_distributed_elevTPI,bigBuckt,2010,0.0,283.4358945699069,137.53133048198472,420.96722505189166,East_River,elevTPI
East_River_distributed_elevTPI,bigBuckt,2011,0.0,284.6996561041673,145.17704314377144,429.87669924793875,East_River,elevTPI
East_River_distributed_elevTPI,bigBuckt,2012,0.0,280.5972725708047,123.45410765003032,404.05138022083503,East_River,elevTPI
East_River_distributed_elevTPI,bigBuckt,2013,0.0,282.59607722846954,136.88506832193772,419.4811455504073,East_River,elevTPI
East_River_distributed_elevTPI,bigBuckt,2014,0.0,281.66895841994943,133.81499816127788,415.4839565812273,East_River,elevTPI
East_River_distributed_elevTPI,bigBuckt,2015,0.0,285.0953337994756,149.34755121295527,434.4428850124309,East_River,elevTPI
East_River_distributed_elevTPI,bigBuckt,2016,0.0,281.37990428545504,136.37512653197746,417.7550308174325,East_River,elevTPI
East_River_distributed_elevTPI,bigBuckt,2017,0.0,280.5050387153342,130.9050401227434,411.4100788380776,East_River,elevTPI
East_River_distributed_elevTPI,bigBuckt,2018,0.0,281.0600341428354,129.6041547761588,410.66418891899417,East_River,elevTPI
East_River_distributed_elevTPI,bigBuckt,2019,0.0,285.61061503908746,149.12613287886802,434.7367479179555,East_River,elevTPI
East_River_distributed_elevTPI,bigBuckt,2020,0.0,281.99575286106585,129.2850050377992,411.2807578988651,East_River,elevTPI
East_River_distributed_elevTPI,noXplict,2001,0.0,243.2455957342789,0.0,243.2455957342789,East_River,elevTPI
East_River_distributed_elevTPI,noXplict,2002,0.0,228.87992753301234,0.0,228.87992753301234,East_River,elevTPI
East_River_distributed_elevTPI,noXplict,2003,0.0,250.0957705496782,0.0,250.0957705496782,East_River,elevTPI
East_River_distributed_elevTPI,noXplict,2004,0.0,243.3231541888368,0.0,243.3231541888368,East_River,elevTPI
East_River_distributed_elevTPI,noXplict,2005,0.0,243.94620085107337,0.0,243.94620085107337,East_River,elevTPI
East_River_distributed_elevTPI,noXplict,2006,0.0,220.1883531287912,0.0,220.1883531287912,East_River,elevTPI
East_River_distributed_elevTPI,noXplict,2007,0.0,244.5140237073553,0.0,244.5140237073553,East_River,elevTPI
East_River_distributed_elevTPI,noXplict,2008,0.0,250.49340373001115,0.0,250.49340373001115,East_River,elevTPI
East_River_distributed_elevTPI,noXplict,2009,0.0,251.74402065156033,0.0,251.74402065156033,East_River,elevTPI
East_River_distributed_elevTPI,noXplict,2010,0.0,247.34388552751383,0.0,247.34388552751383,East_River,elevTPI
East_River_distributed_elevTPI,noXplict,2011,0.0,261.3909161357152,0.0,261.3909161357152,East_River,elevTPI
East_River_distributed_elevTPI,noXplict,2012,0.0,224.98795749961766,0.0,224.98795749961766,East_River,elevTPI
East_River_distributed_elevTPI,noXplict,2013,0.0,244.16641438592418,0.0,244.16641438592418,East_River,elevTPI
East_River_distributed_elevTPI,noXplict,2014,0.0,239.86642429221817,0.0,239.86642429221817,East_River,elevTPI
East_River_distributed_elevTPI,noXplict,2015,0.0,265.2172673872236,0.0,265.2172673872236,East_River,elevTPI
East_River_distributed_elevTPI,noXplict,2016,0.0,245.97479818943543,0.0,245.97479818943543,East_River,elevTPI
East_River_distributed_elevTPI,noXplict,2017,0.0,234.43945570625036,0.0,234.43945570625036,East_River,elevTPI
East_River_distributed_elevTPI,noXplict,2018,0.0,232.58098414820785,0.0,232.58098414820785,East_River,elevTPI
East_River_distributed_elevTPI,noXplict,2019,0.0,262.85433026181875,0.0,262.85433026181875,East_River,elevTPI
East_River_distributed_elevTPI,noXplict,2020,0.0,235.31861407986838,0.0,235.31861407986838,East_River,elevTPI
East_River_distributed_elevTPI,qTopmodl,2001,0.0,370.801237316388,0.0,370.801237316388,East_River,elevTPI
East_River_distributed_elevTPI,qTopmodl,2002,0.0,338.84514334652204,0.0,338.84514334652204,East_River,elevTPI
East_River_distributed_elevTPI,qTopmodl,2003,0.0,381.1167673941289,0.0,381.1167673941289,East_River,elevTPI
East_River_distributed_elevTPI,qTopmodl,2004,0.0,369.76425052181264,0.0,369.76425052181264,East_River,elevTPI
East_River_distributed_elevTPI,qTopmodl,2005,0.0,369.2350666008982,0.0,369.2350666008982,East_River,elevTPI
East_River_distributed_elevTPI,qTopmodl,2006,0.0,333.145403581436,0.0,333.145403581436,East_River,elevTPI
East_River_distributed_elevTPI,qTopmodl,2007,0.0,372.97419780369427,0.0,372.97419780369427,East_River,elevTPI
East_River_distributed_elevTPI,qTopmodl,2008,0.0,377.96661256513477,0.0,377.96661256513477,East_River,elevTPI
East_River_distributed_elevTPI,qTopmodl,2009,0.0,382.19291710590664,0.0,382.19291710590664,East_River,elevTPI
East_River_distributed_elevTPI,qTopmodl,2010,0.0,374.56669414119204,0.0,374.56669414119204,East_River,elevTPI
East_River_distributed_elevTPI,qTopmodl,2011,0.0,395.97678911369275,0.0,395.97678911369275,East_River,elevTPI
East_River_distributed_elevTPI,qTopmodl,2012,0.0,334.6277076943702,0.0,334.6277076943702,East_River,elevTPI
East_River_distributed_elevTPI,qTopmodl,2013,0.0,370.2182882238228,0.0,370.2182882238228,East_River,elevTPI
East_River_distributed_elevTPI,qTopmodl,2014,0.0,362.6002748562406,0.0,362.6002748562406,East_River,elevTPI
East_River_distributed_elevTPI,qTopmodl,2015,0.0,405.8816292923358,0.0,405.8816292923358,East_River,elevTPI
East_River_distributed_elevTPI,qTopmodl,2016,0.0,374.5024422949554,0.0,374.5024422949554,East_River,elevTPI
East_River_distributed_elevTPI,qTopmodl,2017,0.0,350.7112822768824,0.0,350.7112822768824,East_River,elevTPI
East_River_distributed_elevTPI,qTopmodl,2018,0.0,349.9944883971808,0.0,349.9944883971808,East_River,elevTPI
East_River_distributed_elevTPI,qTopmodl,2019,0.0,402.5988190899131,0.0,402.5988190899131,East_River,elevTPI
East_River_distributed_elevTPI,qTopmodl,2020,0.0,353.9644357422947,0.0,353.9644357422947,East_River,elevTPI
Tuolumne_River_lumped,bigBuckt,2001,0.0,199.2016969103845,0.034422149521822244,199.23611905990631,Tuolumne_River,lumped
Tuolumne_River_lumped,bigBuckt,2002,0.0,178.09198801713228,0.01598445721810833,178.1079724743504,Tuolumne_River,lumped
Tuolumne_River_lumped,bigBuckt,2003,0.0,195.3036154261513,0.030049038320868887,195.33366446447218,Tuolumne_River,lumped
Tuolumne_River_lumped,bigBuckt,2004,0.0,209.25112636008794,0.048281892579275815,209.2994082526672,Tuolumne_River,lumped
